ID;Annots;hsa_miR_21;hsa_miR_22;hsa_miR_143;hsa_let_7b;hsa_miR_141;hsa_miR_148a;hsa_miR_26a_2;hsa_miR_24_1;hsa_miR_451_DICER1;hsa_miR_145;hsa_miR_99a;hsa_miR_30a;hsa_miR_126;hsa_miR_199a_2_3p;hsa_miR_142_5p;hsa_miR_125b_1;hsa_miR_205;hsa_miR_320_RNASEN;hsa_miR_378
2;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;1;1;1
3;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
4;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0
5;0;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;1;1
6;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
9;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0
11;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0
12;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;1;1;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0
16;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
24;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
29;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
31;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
34;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
46;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
52;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
63;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
64;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
69;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
71;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
72;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
73;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
75;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
79;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
82;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
83;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
84;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
86;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
