ID;Annots;hsa_miR_451_DICER1;hsa_miR_145;hsa_miR_376c;hsa_miR_143;hsa_miR_141;hsa_miR_148a;hsa_miR_29a;hsa_miR_103_2;hsa_miR_142_3p;hsa_miR_200c;hsa_miR_126;hsa_miR_199a_2_3p;hsa_miR_142_5p;hsa_miR_125b_1;hsa_miR_205;hsa_miR_101_2;hsa_miR_199a_2_5p;hsa_miR_221;hsa_miR_25;hsa_miR_425;hsa_miR_375;hsa_miR_378;hsa_miR_130a;hsa_miR_186;hsa_miR_10b;hsa_miR_423_3p;hsa_miR_146a;hsa_miR_182;hsa_miR_151_3p;hsa_miR_140_3p;hsa_miR_34a;hsa_miR_203;hsa_miR_150;hsa_miR_374a;hsa_miR_183;hsa_miR_96;hsa_miR_210;hsa_miR_185;hsa_miR_33a;hsa_miR_423_5p;hsa_miR_224;hsa_miR_144;hsa_miR_196a_2;hsa_miR_361_5p;hsa_miR_345;hsa_miR_193a_5p;hsa_miR_452;hsa_miR_127_3p;hsa_miR_652;hsa_miR_335_5p;hsa_miR_574_3p;hsa_miR_7_1;hsa_miR_574_5p;hsa_miR_376a_1_3p;hsa_miR_671;hsa_miR_138_1;hsa_miR_486;hsa_miR_328;hsa_miR_335_3p
1;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
2;0;1;1;0;1;1;1;1;1;0;0;1;1;0;1;1;0;1;1;1;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;1;0
3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
4;0;1;1;1;1;0;1;1;0;0;0;0;1;0;1;1;0;1;1;0;0;0;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0
5;0;1;1;0;1;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;0;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;1;0;1;0;1;0;0;0;1;0;0
6;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
7;0;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0
8;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;0;1;1;0;0;0;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
10;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;1;1;1;1;1;1;1;1;0;0;0;1;0;1;1;0;1;1;0;0;0;1;0;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0
12;1;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;1;0;1;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
13;1;0;0;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
14;1;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;1;1;1;0;1;1;1;0;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;1;0;1;1;0;0;1;0;1;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
16;1;0;0;0;0;0;1;1;1;0;0;0;1;0;1;0;1;0;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
17;1;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;1;1;0;0;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
