ID;Annots;hsa_miR_451_DICER1;hsa_miR_378;hsa_miR_376c;hsa_miR_22;hsa_miR_143;hsa_miR_141;hsa_miR_148a;hsa_miR_23a;hsa_miR_29a;hsa_miR_26a_2;hsa_miR_27a;hsa_miR_24_1;hsa_miR_145;hsa_miR_191;hsa_miR_99a;hsa_miR_103_2;hsa_miR_30a;hsa_miR_142_3p;hsa_miR_200c;hsa_miR_126;hsa_miR_199a_2_3p;hsa_miR_142_5p;hsa_miR_106b;hsa_miR_19b_2;hsa_miR_125b_1;hsa_miR_205;hsa_miR_101_2;hsa_miR_320_RNASEN;hsa_miR_199a_2_5p;hsa_miR_221;hsa_miR_25;hsa_miR_181a_1;hsa_miR_425;hsa_miR_130a;hsa_miR_186;hsa_miR_10b;hsa_miR_423_3p;hsa_miR_146a;hsa_miR_182;hsa_miR_140_3p;hsa_miR_203;hsa_miR_183;hsa_miR_423_5p;hsa_miR_224;hsa_miR_144;hsa_miR_223;hsa_miR_18a;hsa_miR_193a_5p;hsa_miR_452;hsa_miR_127_3p;hsa_miR_135b;hsa_miR_9_3
2;0;0;1;0;1;1;0;1;1;0;0;1;1;1;0;1;0;1;0;0;1;0;0;0;0;1;1;0;1;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
4;0;0;1;1;1;1;0;1;1;0;1;0;1;1;0;1;0;1;0;0;0;1;0;0;1;1;1;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0;1;1;0;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0;1;0;1;1;0;1;1;1;1;0;1;1;0;1;1;1;0;0;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0;1;1;0;1;1;0;1;1;1;1;1;1;1;0;1;0;1;0;0;0;1;0;0;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
10;0;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;0;1;1;1;1;0;1;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;1;1;1;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
12;1;0;0;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
15;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
